workbook	sheet	physical_row	item	sub_item_1	sub_item_2	indicator	mandatory_source	mandatory_normalized	item_source_ref	item_source_kind	sub1_source_ref	sub1_source_kind	sub2_source_ref	sub2_source_kind	indicator_source_ref	mandatory_source_ref	mandatory_source_kind
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	90	Deliveryman	Mendapat konfirmasi pengantaran unit		"-Memeriksa nama konsumen 
-Memeriksa no. kontak konsumen
-Apabila pada saat pengantaran unit (nama, no telp, alamat lengkap) terdapat database konsumen yang update, dapat diserahkan data yang terupdate ke PIC CRM"			B90	DIRECT	C90	DIRECT	D90	SOURCE_BLANK	E90	F90	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	91	Deliveryman	Mendapat konfirmasi pengantaran unit		"- Memeriksa kelengkapan surat dan administrasi
- Memastikan motor sudah lolos PDI (cek tag PDI)
- Mengecek nomor rangka & nomor mesin
- Untuk EV cek serial number battery; serial number charger dengan BAST
- Mengecek pengikatan motor dan memasang rubber"			B91	DIRECT	C91	DIRECT	D91	SOURCE_BLANK	E91	F91	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	92	Deliveryman	Mendapat konfirmasi pengantaran unit		"-Mengucapkan salam ( Salam Satu Hati dan Salam Cuaca )
-Konfirmasi unit yang akan dikirim
-Konfirmasi nama konsumen
-Konfirmasi siapa yang akan menerima motor
-Konfirmasi jadwal pengiriman
-Konfirmasi alamat pengiriman
-Delivery man memiliki ""Smartphone"" wajib membagikan live location ke konsumen sebelum keberangkatan
-Menelpon konsumen jika terlambat datang"	S G P	S G P	B92	DIRECT	C92	DIRECT	D92	SOURCE_BLANK	E92	F92	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	93	Deliveryman	Menerima dan mengecek unit		"- Memastikan konsumen sudah download dan register di Customer Apps dengan menggunakan referral code (sesuai standarisasi refferral code)
- Mengingatkan fitur dan benefit penggunaan Customer Apps *Highlight Booking Service, KPB Digital, Loyalty (Hepigo Points & XP)  
- Khusus konsumen baru: menjelaskan benefit poin dari program loyalty dapat ditukarkan dengan voucher discount service atau parts
- Menanyakan tingkat kepuasan konsumen terhadap proses pengiriman unit motor
- Melaporkan kepada Warehouse PIC atau melakukan sendiri update data pengiriman pada NMS/NMS Mobile (jika Dealer telah implementasi fitur Delivery Management)
- Mengingatkan konsumen sudah download & berhasil login RoadSync Apps
- Membantu proses sinkronisasi RoadSync Apps (jika tidak memungkinkan, report ke Admin CRM agar proses sinkronisasi di bantu oleh admin CRM /salespeople/ admin STNK/BPKB)
- Apabila konsumen sudah sinkronisasi, mendokumentasi no rangka dan juga Nama Perangkat Bluetooth (dengan format HONDA BTU xxxx) pada Handphone konsumen
- Mengirimkan foto dokumentasi kepada Admin CRM untuk dilakukan rekapitulasi"			B93	DIRECT	C93	DIRECT	D93	SOURCE_BLANK	E93	F93	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	94	Deliveryman	Menerima dan mengecek unit		"-Mengucapkan salam  ( Salam Satu Hati dan Salam Cuaca )
-Memeriksa dokumen terkait (kwitansi, dll)
-Mengecek fisik unit
-Menjelaskan fitur utama (demonstrasi)
-Menjelaskan fungsi fitur
-Bersama konsumen mengecek kesesuaian no. mesin & rangka
-Untuk EV cek kesesuaian serial number battery; serial number charger dengan BAST
- Untuk EV roleplay plug / unplug baterai ke Unit / menjelaskan fitur connectivity dan membantu pairing ke device konsumen/ cara direct charging"	S G P	S G P	B94	DIRECT	C94	DIRECT	D94	SOURCE_BLANK	E94	F94	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	95	Deliveryman	Menerima dan mengecek unit		membersihkan jok dan hand grip motor (dilakukan di depan konsumen)			B95	DIRECT	C95	DIRECT	D95	SOURCE_BLANK	E95	F95	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	96	Deliveryman	Menerima dan mengecek unit		"Menjelaskan:
 - Garansi rangka 5 tahun tanpa batasan jarak
 - Garansi mesin 3 tahun / 36000km
 - Garansi listrik & komponen rangka 1 tahun atau 12000km
 - Garansi PGMFI 5 tahun atau 60000km
 - KPB service
 - Booking service
 - Mengajak konsumen untuk service di AHASS sendiri (H123)/terdekat (H1)
 - Menginformasikan fasilitas AHASS (Booking Service, Service kunjung, dan fasilitas AHASS lainnya)
 -Menginformasikan dan Menjelaskan Fasilitas Honda Care *Selected Dealer
 -Menjelaskan fitur EV termasuk perawatan, maintenance, dll"	S G P	S G P	B96	DIRECT	C96	DIRECT	D96	SOURCE_BLANK	E96	F96	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	97	Deliveryman	Menerima dan mengecek unit		"- Menyerahkan KSU (Kelengkapan Standard Unit)
- Pengisian hari, tanggal, dan konsumen  tanda tangan  BAST yang ada di dalam buku servis
- Memberikan & menginformasikan secara lisan kartu apresiasi fisik ataupun kartu apresiasi digital melalui customer application
- Mengingatkan safety riding"			B97	DIRECT	C97	DIRECT	D97	SOURCE_BLANK	E97	F97	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	98	Deliveryman	Menerima dan mengecek unit		Mengkonfirmasi dan mengupdate data konsumen seperti alamat, nomer HP alternatif, email dan media sosial			B98	DIRECT	C98	DIRECT	D98	SOURCE_BLANK	E98	F98	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	99	Admin H1	Mengambil STNK & BPKB		"- Menginformasikan kepada konsumen jika dokumen STNK/BPKB/Plat No telah tersedia (melalui WA)
- Memberikan informasi terkait waktu, tempat, dan syarat pengambilan STNK & BPKB
- Mencatat proses serah terima dokumen STNK/BPKB/Plat No kepada konsumen di NMS Document Handling
- Memastikan konsumen sudah download dan register pada Customer Apps dengan menggunakan referral code (sesuai standarisasi refferal code)
- Membantu konsumen melakukan booking servis KPB 1 via Customer Apps
Notes: untuk dealer piloting penyerahan STNK/BPKB oleh SC, maka yang menginformasikan ke konsumen adalah SC "			B99	DIRECT	C99	DIRECT	D99	SOURCE_BLANK	E99	F99	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	100	Admin H1	Mengambil STNK & BPKB		"melakukan follow up (Paling lambat H-1 dari tanggal yang dijanjikan) jika :
- STNK mengalami keterlambatan ( lebih dari 14 Hari Kerja atau yang telah dijanjikan )
- BPKB mengalami keterlambatan ( lebih dari 3 bulan atau yang telah dijanjikan )
- Notes: untuk dealer piloting penyerahan STNK/BPKB oleh SC, maka yang melakukan follow up ke konsumen adalah SC "	G P	G P	B100	DIRECT	C100	DIRECT	D100	SOURCE_BLANK	E100	F100	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	101	Admin H1	Mengambil STNK & BPKB		"- Mengucapkan salam ( Salam Satu Hati dan Salam Cuaca )
- Menanyakan kebutuhan konsumen
- Meminta konsumen untuk memeriksa kesesuaian STNK
- Mengonfirmasi data konsumen: nama, alamat, nomor mesin, nomor rangka
- Mengucapkan terima kasih & Salam Satu Hati
Jika ada konsumen yang perlu bantuan sinkronisasi RoadSync Apps : 
- menandai list konsumen yang masih belum berhasil melakukan sinkronisasi (informasi dari PIC CRM)
- Membantu proses sinkronisasi Apps RoadSync saat konsumen mengamil STNK & BPKB
- Apabila konsumen sudah sinkronisasi, admin STNK  mendokumentasi no rangka dan juga Nama Perangkat Bluetooth (dengan format HONDA BTU xxxx) pada Handphone konsumen

- Notes:  untuk dealer piloting penyerahan STNK/BPKB oleh SC, maka yang menyerahkan ke konsumen adalah SC "			B101	DIRECT	C101	DIRECT	D101	SOURCE_BLANK	E101	F101	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	102	PIC CRM	Analisa Data konsumen		"Analisa Data konsumen:
 - Melakukan analisa konsumen untuk repeat order berdasarkan customer profile (migration path & buying cycle) dan atau PDRB/berita terkini/hasil analisa campaign yang sudah pernah ada (koordinasi dengan kacab)
 - Melakukan analisa alasan konsumen mengapa tidak jadi beli (koordinasi dengan kacab)
 - Melakukan analisa konsumen yang akan di undang service (koordinasi dengan kabeng)
 - Melakukan analisa alasan konsumen yang belum kembali service di lokasi near (koordinasi dengan kabeng)
 - Menganalisa data konsumen untuk dilakukan follow up RO yang berada di 1 lokasi dengan BTL activity regular seperti canvassing, pameran, gathering"			B102	DIRECT	C102	DIRECT	D102	SOURCE_BLANK	E102	F102	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	103	PIC CRM	Distribusi Data	Proses CRM H1	"Proses CRM H1
 - Menggunakan data konsumen H1 dan H2 untuk diolah oleh PIC CRM dan menjadi data leads outbond yang akan dibagikan kepada sales force (item ini hanya untuk dealer H123, jika Dealer H1 hanya menggunakan data H1 saja)
  - Melakukan distribusi data konsumen untuk di follow up sales people minimal seminggu sekali
  - Melakukan distribusi data konsumen kepada sales force yang akan melakukan BTL activity regular di lokasi yang sama dengan domisili konsumen agar dapat dilakukan follow up
  - Melakukan sampling dan monitoring terhadap hasil follow up sales people setiap hari
  - Melakukan evaluasi dan review bersama dengan kacab terhadap hasil campaign dan leads setiap bulan
 - Menginformasikan konten promosi kepada Admin CRM untuk di SMS atau WA Blast
 - Memastikan pemrosesan data pribadi konsumen dilakukan sesuai dengan Guidance Honda People Playbook terkait Pelindungan Data Pribadi"			B103	DIRECT	C103	DIRECT	D103	DIRECT	E103	F103	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	104	PIC CRM	Distribusi Data	Proses CRM H2	"Proses CRM H2
 - Melakukan distribusi data leads(service) yang masuk dari berbagai channel digital menggunakan NMS untuk di Follow up salesforce sebelumnya (untuk data H2 Own Dealer)
  - Menggunakan data konsumen H1 dan H2 untuk diolah oleh PIC CRM (item ini hanya untuk dealer H123, jika Dealer H2 hanya menggunakan data H2 saja)
  -Melakukan distribusi data konsumen untuk di follow up admin CRM H2 terkait reminder service
  - Tim AHASS memberikan update terkait list konsumen yang menggunakan booking service,service kunjung,jadwal pos service, dan konsumen yang sudah service kepada admin CRM H2 setiap harinya. 
  - Melakukan monitoring dari hasil follow up admin CRM H2
  - Melakukan review bersama kepala bengkel terkait konsumen yang belum melakukan service setiap bulannya
- Memastikan pemrosesan data pribadi konsumen dilakukan sesuai dengan Guidance Honda People Playbook terkait Pelindungan Data Pribadi"			B104	DIRECT	C104	DIRECT	D104	DIRECT	E104	F104	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	105	PIC CRM	Result & Monitoring		- Melakukan monitoring terhadap hasil follow up, setiap hari melalui Leads Dashboard NMS/NMS Mobile serta melakukan reminder jika terdapat leads yang belum di follow up sales people			B105	DIRECT	C105	DIRECT	D105	SOURCE_BLANK	E105	F105	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	106	Admin CRM H1	Follow up		"Validasi data (maksimal 5 hari kerja setelah pengantaran)
 - Mengucapkan terima kasih atas pembelian motor by call 
 - Menanyakan kritik dan saran (feedback layanan Dealer)
 - Verifikasi data konsumen dan no telp
 - Mengingatkan untuk service KPB melalui booking Customer Apps
 - Menginformasikan fasilitas AHASS (booking service/service kunjung)
 - Menginformasikan kepada konsumen jika ada pertanyaan / keluhan terkait unit dan layanan sepeda motor Honda dapat menghubungi Contact Center Astra Honda Motor (sambil menunjukkan X Banner Contact Center) atau bisa menyampaikan melalui Dealer / AHASS
 - Jika terdapat perubahan data konsumen, maka wajib melakukan update ke sistem NMS
- Memastikan melakukan follow up dan pemrosesan data pribadi sesuai dengan Guidance Honda People Playbook Mengenai Pelindungan Data Pribadi

Untuk konsumen yang gagal sinkronisasi dengan RoadSync Apps : 
- Untuk konsumen yang belum tersinkronisasi (informasi dari Deliveryman), Admin CRM menambahkan point pada saat follow-up untuk menanyakan kendala yang dialami konsumen ketika sinkronisasi. Kemudian Admin CRM akan membantu konsumen dalam proses sinkronisasinya dengan mengirimkan materi penjelasan, dan meminta konsumen untuk mengirimkan dokumentasi Nama Perangkat Bluetooth (dengan format HONDA BTU xxxx) pada Handphone konsumen
- Apabila konsumen tidak bisa dihubungi atau konsumen belum mengirimkan bukti capture Nama Perangkat Bluetooth (dengan format HONDA BTU xxxx) pada Handphone konsumen, maka Admin CRM akan menginfokan Sales People nya.
- Menginformasikan ke Admin STNK, apabila ada konsumen yang butuh di dampingi ketika pengambilan STNK terkait sinkronisasi RoadSync
"	P	P	B106	DIRECT	C106	DIRECT	D106	SOURCE_BLANK	E106	F106	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	107	Admin CRM H1		Reminder Servis KPB 1	"- WA dikirimkan H-30 sebelum jatuh tempo servis untuk KPB 1 
- Menginfokan fasilitas AHASS (seperti booking servis, servis kunjung, dll), dan menginformasikan klaim KPB, benefit dan fitur customer apps"			B107	DIRECT	C107	SOURCE_BLANK	D107	DIRECT	E107	F107	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	108	Kacab Dealer			"- Melakukan morning briefing (evaluasi H-1 dan activity hari ini) setiap hari 
* Minimum item : Perfomance, Prospek, Leads, Program, Status Indent, Pelayanan, Target per tipe, Actvity, dll) "			B108	DIRECT	C108	SOURCE_BLANK	D108	SOURCE_BLANK	E108	F108	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	109	Kacab Dealer	Memutuskan indent		"-Memonitor proses indent secara update (open,close,cancel)
-Menginformasi feedback dari MD terkait indent kepada salespeople untuk ETA (Estimation time arrived)"			B109	DIRECT	C109	DIRECT	D109	SOURCE_BLANK	E109	F109	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	110	Kacab Dealer	Result & Monitoring CRM		"- Review hasil report follow-up data leads melalui NMS/NMS Mobile 
- Mengecek leads & menugaskan PIC CRM untuk membagikan data leads dari NMS ke Salesforce
- Monitoring penggunaan refferal code FLP
- Mengupdate & maintain target prospect dan SPK per FLP, serta monitoring pencapaiannya pada NMS Mobile / Sales Wallboard hardcopy/sistem dealer (NMS), berisi Sales per Sales People daily, weekly, monthly, CoE, info target per tipe per salespeople, Info sales program, 
- Monitoring claim sales program di NMS
- Monitoring rating dan feedback customer pada customer apps bersama admin CRM 
- Jika terdapat Salespeople yang terkendala follow up prospect, PIC/Admin/Kacab dapat memindahkan assignment kepada Salespeople lainnya
- Memastikan semua leads yang masuk melalui channel digital sudah difollow up dan diupdate hasilnya pada NMS"			B110	DIRECT	C110	DIRECT	D110	SOURCE_BLANK	E110	F110	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	111	Kacab Dealer	Discount Approval		- Kacab melakukan monitoring dan approval diskon tambahan yang diajukan Salespeople pada NMS/NMS Mobile			B111	DIRECT	C111	DIRECT	D111	SOURCE_BLANK	E111	F111	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	112	Coordinator Sales Counter	Melakukan negosiasi		"- melakukan monitoring SC dalam pelayanan konsumen , jika waktu pelayanan > 35 - 45 menit maka koor. sc wajib membantu SC dalam meyakinkan konsumen dengan kondisi : 
1. SC tidak perlu melakukan proses handover penjelasan dari awal (Coord SC. melakukan proses shadow)
2. Apabila dalam proses shadow, dirasa sudah akan deal, Coord SC tidak perlu ikut meyakinkan konsumen
3. Coord SC hanya membantu meyakinkan konsumen, dalam proses administrasi dan SPK dikembalikan ke SC 
4. Jika Coord SC sedang melayani kosnumen lain, maka proses ini wajib eskalasi ke Kacab"			B112	DIRECT	C112	DIRECT	D112	SOURCE_BLANK	E112	F112	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	113	Kacab	Melakukan negosiasi		"Membantu SC untuk meyakinkan konsumen, jika waktu pelayanan > 35 - 45 menit, dengan kondisi : 
1. Koord SC sedang melayani konsumen lainnya (eskalasi)
2. Kacab tidak perlu melakukan proses handover penjelasan dari awal (Kacab melakukan proses shadow)
2. Apabila dalam proses shadow, dirasa sudah akan deal,Kacab tidak perlu ikut meyakinkan konsumen
3. Kacab hanya membantu meyakinkan konsumen, dalam proses administrasi dan SPK dikembalikan ke SC"			B113	DIRECT	C113	DIRECT	D113	SOURCE_BLANK	E113	F113	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	114	Admin Warehouse	Menerima dan memeriksa unit dari Main Dealer		"- Memeriksa kesesuaian unit dengan surat jalan dari MD
- Memeriksa kesesuaian KSU (tool kit, buku service)"			B114	DIRECT	C114	DIRECT	D114	SOURCE_BLANK	E114	F114	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	115	Admin Warehouse	Pengiriman unit ke Konsumen		"- Instruksi berdasarkan SPK yang sah
- PDI Unit sudah OK dan pastikan KSU sudah sesuai dengan unit motornya
- Menginformasikan nama, alamat dan nomor kontak konsumen"			B115	DIRECT	C115	DIRECT	D115	SOURCE_BLANK	E115	F115	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	116	Admin Warehouse	Update Data Stock Dealer		"- Dilakukan setiap hari berdasarkan data transaksi penerimaan dan pengiriman unit
- Tanda Serah terima unit dari Main Dealer"			B116	DIRECT	C116	DIRECT	D116	SOURCE_BLANK	E116	F116	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	117	PDI Man		PDI Digital	Memastikan utilisasi PDI Digital digunakan secara maksimal (hardcopy tetap disiapkan untuk keperluan SV)			B117	DIRECT	C117	SOURCE_BLANK	D117	DIRECT	E117	F117	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	118	Admin H1	Mengambil STNK & BPKB		- Melakukan sampling jumlah fisik STNK/BPKB/Plat No yang ada di dealer dibandingkan dengan jumlah data yang yang ada di NMS Document Handling (Exist Good jika jumlahnya sesuai)			B118	DIRECT	C118	DIRECT	D118	SOURCE_BLANK	E118	F118	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	119	Admin Warehouse	Update Data Stock Dealer		- Melakukan sampling jumlah fisik unit yang ada di dealer dibandingkan dengan jumlah data yang yang ada di NMS menu Stock Unit (Exist Good jika jumlahnya sesuai)			B119	DIRECT	C119	DIRECT	D119	SOURCE_BLANK	E119	F119	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	120	SIPEDE			"""- Dealer memiliki min 1. sosial media (fb, ig, tiktok)  & menjalankan activity digital marketing min posting 1 minggu/1x (live streaming & upload konten)

* Exist Not Good : Dealer memiliki SIpede tapi tidak aktif menjalankan activity digital marketing (tidak rutin setiap minggu)
* Not Exist : Tidak memiliki Sipede & tidak menjalankan activtiy digital marketing"""			B120	DIRECT	C120	SOURCE_BLANK	D120	SOURCE_BLANK	E120	F120	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	121	All Roles (Highlight PIC CRM, Sales Force)	Pelindungan Data Pribadi		"- Pengumpulan data pribadi perlu dipastikan terdapat consent yang terisi (Cek SPK / sistem) terkait adanya persetujuan konsumen terhadap penggunaan data, dan kolom kotak nya tercentang. 
- Apabila perlu ada eskalasi, FLP dapat mengarahkan konsumen untuk melakukan request pada contact center AHM melalui customercare@astra-honda.com atau telepon 1-500- 989
- Memastikan link untuk report sheets internal / dashboard  / Linktree sudah terdapat pembatasan akses"			B121	DIRECT	C121	DIRECT	D121	SOURCE_BLANK	E121	F121	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	122	PDI Man	EV Baterai Charger cek		"- Melakukan pairing nomor rangka dan nomor mesin Unit dengan serial number baterai dan charger
- Mengecek kondisi battery apakah bisa di charge atau tidak"			B122	DIRECT	C122	DIRECT	D122	SOURCE_BLANK	E122	F122	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	123	PDI Man	Kebersihan Unit		"- Memastikan unit yang akan dikirimkan ke konsumen sudah bersih dari coretan pabrik
- Menggunakan cairan pembersih yang tidak merusak cat / warna dari unit (diskusikan dengan tim TSD)"			B123	DIRECT	C123	DIRECT	D123	SOURCE_BLANK	E123	F123	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	124	BBC/ BBM/ WSP/ SC/ SM	Membuat perjanjian		Mencatat data prospect dan janji temu di NMS / NMS Mobile (module prospecting)			B124	DIRECT	C124	DIRECT	D124	SOURCE_BLANK	E124	F124	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	125	BBC/ BBM/ WSP/ SC/ SM	Memutuskan pembelian		Mengisi SPK di NMS Mobile dan mengisi data konsumen (form permohonan STNK dan CDB) dengan memastikan adanya persetujuan konsumen terkait customer data consent			B125	DIRECT	C125	DIRECT	D125	SOURCE_BLANK	E125	F125	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	126	Cashier	Melakukan pembayaran		"Melakukan input pembayaran di NMS (modul Billing) berdasarkan sales order yang sudah dibuat 
*note: dealer group memastikan sudah proses dealer group integration"			B126	DIRECT	C126	DIRECT	D126	SOURCE_BLANK	E126	F126	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	127	BBC/ BBM/ WSP/ SC/ SM	Memutuskan pembelian	Pembelian Kredit - Memilih Fincoy	"- Mencatat Order-in ke Fincoy
- Melakukan update status pengajuan leasing ketika approved (PO) atau reject melalui NMS -> dapat digantikan dengan update status pengajuan leasing secara otomatis (bila sudah implementasi Fincoy Integration)"			B127	DIRECT	C127	DIRECT	D127	DIRECT	E127	F127	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	128	Deliveryman	Mendapat konfirmasi pengantaran unit		"- Menerima dokumen BAST yang dicetak melalui NMS
- Jika kondisi dealer untuk update proses pengiriman dilaporkan dari deliveryman ke admin warehouse, maka admin warehouse melakukan pengumpulan tanda Serah terima unit dengan Konsumen dan mengupdate data ke NMS / NMS Mobile"			B128	DIRECT	C128	DIRECT	D128	SOURCE_BLANK	E128	F128	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	129	Admin H1	Mengambil STNK & BPKB		- Melakukan pencatatan dan update data pengurusan dokumen STNK/BPKB/Plat No konsumen pada NMS Document Handling			B129	DIRECT	C129	DIRECT	D129	SOURCE_BLANK	E129	F129	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	130	Admin Warehouse	Update Data Stock Dealer		- Melakukan pencatatan unit inbound di NMS Dealer			B130	DIRECT	C130	DIRECT	D130	SOURCE_BLANK	E130	F130	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Process	131	PIC CRM	Distribusi Data	Proses CRM H1	Melakukan distribusi data leads yang masuk dari berbagai channel digital menggunakan NMS untuk di Follow up salesforce sebelumnya. Jika terdapat Salespeople yang terkendala follow up prospect, PIC CRM/Admin CRM H1/Kacab dapat memindahkan assignment kepada Salespeople lainnya.			B131	DIRECT	C131	DIRECT	D131	DIRECT	E131	F131	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	4	Kepala Cabang		Training	"SFT - Product Knowledge (All Product Launched)

* Exist Good :   Sudah lulus training (Nilai >= 70)
* Not Exist :   Belum lulus Training"			B4	DIRECT	C4	SOURCE_BLANK	D4	DIRECT	E4	F4	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	5	Kepala Cabang		Training	"f. Seminar Pemilik AHASS 

* Exist Good :   Sudah ikut seminar dan punya sertifikat
* Not Exist :   Belum ikut seminar"			B5	DIRECT	C5	SOURCE_BLANK	D5	DIRECT	E5	F5	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	6	Kepala Cabang		Training	"g. Parts Management Knowledge (Wajib dilakukan pada usia kerja >= 3 bulan)

* Exist Good :   Sudah ikut training
* Not Exist :   Belum ikut training
* N/A : Apabila masa kerja belum memenuhi"			B6	DIRECT	C6	SOURCE_BLANK	D6	DIRECT	E6	F6	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	7	Kepala Cabang		Sales Tools	"Kepala Cabang memiliki sales tools berupa :
Aplikasi MyHero (berhasil Login)

Ketika menjelaskan konsumen diutamakan menggunakan Aplikasi MyHero (digital)"			B7	DIRECT	C7	SOURCE_BLANK	D7	DIRECT	E7	F7	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	8	Kepala Cabang		Product Knowledge Test	"1. Menanyakan kebutuhan konsumen
2. Mampu memberikan beberapa pilihan rekomendasi produk  min. 2-3 (sesuai kebutuhan konsumen)
3. Dapat menjelaskan konsep/design/fitur produk sesuai kebutuhan konsumen menggunakan metode Power of 3, CFA, SPWA

Alternatif Tipe Produk : Premium Product"			B8	DIRECT	C8	SOURCE_BLANK	D8	DIRECT	E8	F8	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	9	Supervisor		Training	"b. SFT - Product Knowledge (All Product Launched)

* Exist Good :   Sudah lulus training (Nilai >= 70)
* Not Exist :   Belum lulus Training"			B9	DIRECT	C9	SOURCE_BLANK	D9	DIRECT	E9	F9	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	10	Supervisor		Sales Tools	"Supervisor memiliki sales tools berupa :
Aplikasi MyHero (berhasil Login)

Ketika menjelaskan konsumen diutamakan menggunakan Aplikasi MyHero (digital)"			B10	DIRECT	C10	SOURCE_BLANK	D10	DIRECT	E10	F10	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	11	BBM		Training	"Sudah melakukan training (dengan masa kerja) :
Big Wing Sales People Training (0 bulan)
 (Brain, Beauty, and Behavior, Communication & Etiquette)

* Exist Good : Big Bike Manager sudah training
* Not Exist : Big Bike Manager belum Training"			B11	DIRECT	C11	SOURCE_BLANK	D11	DIRECT	E11	F11	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 People	12	BBM		Training	"SFT - Product Knowledge (All Big Bike Product Launched)

* Exist Good : Big Bike Manager sudah training
* Not Exist : Big Bike Manager belum Training"			B12	DIRECT	C12	SOURCE_BLANK	D12	DIRECT	E12	F12	SOURCE_BLANK
